base_address,values,flags
0x4080940,00 00 00 00,1 1 1 1
0x4080ed0,00 00 00 00,1 1 1 1
0x40130b0,A8 00 00 00,1 1 1 1
0x40130b4,A8 00 00 00,1 1 1 1
0x40130bc,A8 00 00 00,1 1 1 1
0x401304c,A8 00 00 00,1 1 1 1
0x401427e,00 00 00 00,1 1 1 1
0x4014288,00 00 00 00,1 1 1 1
0x4015ef2,00 00 00 00,1 1 1 1
0x4015fb0,00 00 00 00,1 1 1 1
0x401697e,00 00 00 00,1 1 1 1
0x4034598,00 00 00 00,1 1 1 1
0x40345fa,00 00 00 00 00 00 00 00,1 1 1 1 1 1 1 1
0x405b090,00 00 00 00 00 00 00 00,1 1 1 1 1 1 1 1
0x4066044,00 BF 00 BF,1 1 1 1
0x406606a,00 BF,1 1
0x4066076,00 BF 00 BF,1 1 1 1
0x40662b2,00 BF,1 1
0x40662c6,00 BF,1 1
0x400e000,00 00 A0 E3 1E FF 2F E1,1 1 1 1 1 1 1 1
0x4015f34,00 BF 00 BF,1 1 1 1
0x4015f8c,00 BF 00 BF,1 1 1 1
0x40166e4,00 BF 00 BF,1 1 1 1
0x402fb42,00 BF 00 BF,1 1 1 1
0x4032e44,00 20 70 47,1 1 1 1
0x4032e6e,00 20 70 47,1 1 1 1
0x40449c0,00 20 70 47,1 1 1 1
0x405580a,00 BF 00 BF,1 1 1 1
0x405582c,00 BF,1 1
0x4015084,12,1
0x40150a8,12,1
0x40150d0,12,1
0x40150f4,12,1
0x40152e8,12,1
0x401530c,12,1
0x4015334,12,1
0x4015432,72,1
0x4015436,30,1
0x401544c,16,1
0x401544e,57,1
0x4015382,12,1
0x40153a6,12,1
0x40153d2,12,1
0x4015414,12,1
0x401543c,12,1
0x401545c,12,1
0x4015492,12,1
0x40154dc,12,1
0x4015560,12,1
0x4015622,12,1
0x401565e,12,1
0x4015682,12,1
0x40156aa,12,1
0x40156ce,12,1
0x40159dc,31,1
0x401576e,6A,1
0x401577a,30,1
0x40324e0,7E,1
0x404f2bc,12,1
0x404f2e2,02,1
0x4013c8e,19,1
0x4015c20,00,1
0x4015c3c,00,1
0x4015c58,00,1
0x4014e8e,1E,1
0x4063112,BE,1
0x4063134,86,1
0x4063166,BE,1
0x4063174,47,1
0x40631ca,02,1
0x4015c04,40,1
0x4064ff0,02,1
0x4013eb8,02,1
0x4063846,02,1
0x402643a,7E,1
0x40a2b58,1E,1
0x408df5a,02,1
0x408df8e,41,1
0x408dfba,9B,1
0x408dfe6,10,1
0x408dff2,58,1
0x408e048,30,1
0x408e054,43,1
0x408e086,91,1
0x408e0b6,3E,1
0x408e0ce,F4,1
0x408e0da,34,1
0x408e110,3E,1
0x4026608,02,1
0x4026870,19,1
0x4043052,BF,1
0x402d9f8,42,1
0x405ca84,23,1
0x405cb82,B3,1
0x409ff60,B0,1
0x4033826,83,1
0x4033886,83,1
0x409ee26,E4,1
0x4033be4,88,1
0x404f3be,32,1
0x40423a2,BF,1
0x406496e,23,1
0x408e69e,2E,1
